SYMBOL	s
PDIA2	2
PDPK1	2
PIK3C2G	2
PLA2G4D	2
RAD9B	2
RHNO1	2
RNF17	2
ROBO3	2
RP11-113D6.10	2
RP11-368P15.3	2
RSF1	2
SDCBPP1	2
SEC31B	2
SERPINA10	2
SLC9B1P3	2
SYNPO2L	2
TACC2	2
TEP1	2
THNSL1	2
TMEM225	2
TMEM63C	2
TNNT3	2
TSC2	2
TTC40	2
UBQLNL	2
UNC5B	2
ZFP91	2
ZNF214	2
ZNF267	2
AAAS	1
ABC7-42389800N19.1	1
ABCC6	1
AC004381.6	1
ACADSB	1
ACSM1	1
ACVR1B	1
ADAMTS7	1
ADAT1	1
AGAP5	1
AGAP8	1
AGAP9	1
AHNAK2	1
AJUBA	1
AKR1C2	1
AL138764.1	1
ALDH2	1
ALKBH1	1
ANKS3	1
ANXA8L2	1
AP000936.5	1
APIP	1
APOLD1	1
AQP11	1
ARHGAP23P1	1
ARID4A	1
ARMC3	1
ASIC1	1
ATP12A	1
ATP7B	1
B3GNT4	1
BBS4	1
BEND7	1
BFAR	1
BMS1	1
BNC1	1
BUB1B	1
C11orf16	1
C11orf70	1
C11orf82	1
C12orf42	1
C14orf166B	1
C15orf39	1
C16orf59	1
C16orf78	1
C16orf96	1
C1QTNF4	1
C2CD3	1
CA12	1
CACNA2D4	1
CARKD	1
CASC1	1
CASP1P2	1
CCAR1	1
CCDC113	1
CCDC154	1
CCDC60	1
CCDC64B	1
CCDC78	1
CCNB2	1
CD3D	1
CD44	1
CDH16	1
CERS5	1
CLCF1	1
CLCN7	1
CMA1	1
CNGA4	1
CNGB1	1
COG7	1
COX15	1
CPB2	1
CSPG4P11	1
CTB-134H23.2	1
CTC-786C10.1	1
CTD-2014N11.2	1
CTD-3088G3.8	1
CTGLF10P	1
CTSG	1
CTSLP6	1
CYP26A1	1
CYP2C18	1
CYP2C19	1
CYP4F34P	1
DCLRE1A	1
DCLRE1C	1
DDX11	1
DDX12P	1
DEFB108B	1
DERA	1
DHRS2	1
DIS3	1
DMBT1	1
DNA2	1
DNAAF1	1
DNAH3	1
DNASE1	1
DOCK1	1
DPEP1	1
DTWD1	1
DYNC2H1	1
DYNLL1	1
ECD	1
EFCAB4B	1
EID1	1
EID3	1
ELMO3	1
ERP29	1
FAH	1
FAM111A	1
FAM149B1	1
FAM173A	1
FAM174B	1
FAM21A	1
FAM71C	1
FAM86A	1
FAM86GP	1
FAN1	1
FERMT3	1
FOLR3	1
GABPB1	1
GALNT8	1
GAPDH	1
GAS2L3	1
GCSHP2	1
GDPD3	1
GDPGP1	1
GJB2	1
GLIPR1	1
GNB3	1
GOLGA6A	1
GOLGA6B	1
GOLGA6C	1
GOLGA8J	1
GOLGA8K	1
GOLGA8R	1
GPR162	1
GPR182	1
GZMH	1
HBA1	1
HCN4	1
HIF1A	1
HNRNPCP8	1
HOXC5	1
HPR	1
hsa-mir-7162	1
HTR7	1
HYKK	1
IDH3A	1
IFI27L1	1
IFLTD1	1
IGHG2	1
IGHMBP2	1
IGHV1OR15-6	1
IGHV2-70	1
IGHV2OR16-5	1
IGHV3-30	1
IGHV3-32	1
IGHV3OR16-12	1
IGHV4-4	1
IGHV7-27	1
IGSF22	1
IGSF9B	1
IMMP1L	1
INTS6-AS1	1
IPO8	1
ITGAD	1
KCNQ1	1
KDM2B	1
KIAA0586	1
KIAA1731	1
KLHL33	1
KNDC1	1
KRT74	1
KRT81	1
KRTAP5-1	1
KTN1	1
L2HGDH	1
LAMP1	1
LEPREL2	1
LIMA1	1
LIPC	1
LIPJ	1
LIPM	1
LIPN	1
LSP1	1
LTB4R2	1
LTBP3	1
LTK	1
LUZP2	1
LYZL1	1
MALRD1	1
MAN2A2	1
MBL2	1
MDGA2	1
MDM1	1
METTL7A	1
MFGE8	1
MICU2	1
MKI67	1
MLYCD	1
MMP2	1
MMP20	1
MMP25	1
MRPL21	1
MRPS31P2	1
MRPS34	1
MS4A4E	1
MSRB1	1
MSRB2	1
MSS51	1
MUS81	1
NAA16	1
NAA25	1
NAALADL1	1
NAGPA	1
NEBL	1
NEMF	1
NEU3	1
NMRAL1	1
NPFFR1	1
NPIPB11	1
NRG3	1
NRIP3	1
NTHL1	1
NUCB2	1
NUDT14	1
NUDT7	1
NUP37	1
NUTM2E	1
NXPE2	1
OAS3	1
ODF3L1	1
OIP5	1
OLFM4	1
OLFML1	1
OR10G6	1
OR10G7	1
OR4A8P	1
OR4C15	1
OR4C46	1
OR4N4	1
OR51I2	1
OR52I2	1
OR5P2	1
OR5P3	1
OR6C4	1
OR6C68	1
OR6C72P	1
OTOG	1
OVCH1	1
P2RX7	1
PAH	1
PARD3	1
PBLD	1
PCDH15	1
PCK2	1
PDE3B	1
PDGFD	1
PDZD9	1
PEX5	1
PHLDA1	1
PIDD	1
PIGB	1
PIGQ	1
PITPNM2	1
PITRM1	1
PLCB2	1
PLCZ1	1
PLEKHG7	1
PLEKHH1	1
PLET1	1
PMCH	1
PNP	1
POLE2	1
POLL	1
PPIF	1
PRB1	1
PRC1	1
PRIMA1	1
PRKXP1	1
PRMT8	1
PROSER2	1
PRR5L	1
PRRT2	1
PRSS21	1
PSPC1	1
PTER	1
PTGR2	1
PUS3	1
PYGM	1
PZP	1
RAB27A	1
RAPGEF3	1
RDH5	1
RECQL	1
RIN3	1
RIPK3	1
RNASE1	1
RNU6-671P	1
RP11-104E19.1	1
RP11-113D6.6	1
RP11-163M18.1	1
RP11-20J15.3	1
RP11-22B23.1	1
RP11-252A24.2	1
RP11-392P7.7	1
RP11-452D12.1	1
RP11-464F9.1	1
RP11-467N20.5	1
RP11-536P16.4	1
RP11-551L14.1	1
RP11-556N21.1	1
RP11-566K19.9	1
RP11-626G11.4	1
RP11-626I20.2	1
RP11-748L13.2	1
RP11-76E17.3	1
RP11-812E19.7	1
RP11-81H14.2	1
RP11-849H4.2	1
RPP25	1
RPS24	1
RPS6KB2	1
RSL24D1	1
SART1	1
SEC14L5	1
SERGEF	1
SERPINA6	1
SERPINA9	1
SFTPA2	1
SFXN3	1
SLC12A1	1
SLC12A3	1
SLC22A12	1
SLC25A15	1
SLC46A3	1
SLC5A11	1
SLC5A8	1
SLCO1B1	1
SLCO1B3	1
SLTM	1
SNAPC1	1
SNTB2	1
SORD	1
SRPR	1
STAM	1
STARD9	1
STRCP1	1
SULT1A1	1
SYCE1	1
SYCE1L	1
SYT15	1
TAS2R30	1
TBC1D4	1
TCTN3	1
THRSP	1
TICRR	1
TIMELESS	1
TMC7	1
TMEM170A	1
TMPRSS13	1
TPP1	1
TPTE2	1
TRAV18	1
TRAV5	1
TRIM22	1
TRIM49	1
TRIM69	1
TRIP11	1
TSNAXIP1	1
TSR3	1
TSSK4	1
TUBB8	1
TULP3	1
TYR	1
UACA	1
UCMA	1
UCP3	1
UEVLD	1
ULK1	1
USMG5	1
USP10	1
USP28	1
USP54	1
VAMP1	1
VPS51	1
VSTM5	1
VWA2	1
VWA8	1
WDHD1	1
ZBTB39	1
ZMYM5	1
ZNF140	1
ZNF200	1
ZNF205	1
ZNF215	1
ZNF37A	1
ZNF469	1
ZNF485	1
ZNF705A	1
ZNF785	1
ZNF839	1
