SYMBOL	s
AFAP1L1	1
AGGF1	1
AGPAT9	1
AGPS	1
AGRN	1
AGTPBP1	1
AHDC1	1
AHI1	1
AIDA	1
AIFM1	1
AIFM3	1
AIG1	1
AIM1	1
AIM1L	1
AKAP12	1
AKR1B1	1
AKR1D1	1
AL627309.1	1
ALDH4A1	1
ALDH8A1	1
ALG12	1
ALG14	1
ALG1L2	1
ALG8	1
ALOX12B	1
ALOX15	1
ALS2CR12	1
AMELY	1
AMER1	1
AMN	1
AMZ2	1
ANAPC1	1
ANGEL1	1
ANGPTL5	1
ANK2	1
ANKRA2	1
ANKRD18B	1
ANKRD20A3	1
ANKRD44	1
ANKRD46	1
ANKRD50	1
ANKRD62P1	1
ANLN	1
ANO7	1
ANO8	1
ANTXR2	1
ANXA1	1
ANXA9	1
AP1AR	1
AP2A1	1
AP2A2	1
AP3B1	1
APBB1	1
APCDD1L	1
APEX1	1
APOL1	1
APPL1	1
AREG	1
ARFGAP1	1
ARFGEF2	1
ARHGAP12	1
ARHGAP15	1
ARHGAP21	1
ARHGAP23	1
ARHGAP25	1
ARHGAP28	1
ARHGAP30	1
ARHGAP9	1
ARHGEF17	1
ARHGEF7	1
ARID3B	1
ARID4A	1
ARIH1	1
ARL2	1
ARL8B	1
ARPP21	1
ARSD	1
ART3	1
ARVCF	1
ASAP2	1
ASAP3	1
ASB14	1
ASCC3	1
ASPM	1
ASPRV1	1
ATAD3A	1
ATAD5	1
ATHL1	1
ATP10A	1
ATP10D	1
ATP11B	1
ATP12A	1
ATP13A5	1
ATP2A1	1
ATP2A3	1
ATP2B1	1
ATP2B2	1
ATP2B4	1
ATP4B	1
ATP5J2-PTCD1	1
ATP6AP1	1
ATP7A	1
ATP8B1	1
ATP8B2	1
ATP8B4	1
ATP9A	1
AVIL	1
AVPR2	1
AXIN2	1
AZIN1	1
B3GALTL	1
B3GNT3	1
B3GNT9	1
B4GALNT4	1
B4GALT1	1
B9D1	1
BAG3	1
BAMBI	1
BANK1	1
BAX	1
BAZ2A	1
BBS1	1
BBS9	1
BCKDHB	1
BCL2L12	1
BCL2L13	1
BCMO1	1
BCO2	1
BCORL1	1
BCR	1
BDP1	1
BEND3	1
BEST1	1
BFSP1	1
BHMT2	1
BICC1	1
BIN2	1
BIRC3	1
BMS1P8	1
BPIFB6	1
BPTF	1
BRAP	1
BRDT	1
BRICD5	1
BRINP1	1
BRIX1	1
BRWD1	1
BTBD3	1
BTN3A1	1
BTN3A3	1
C10orf11	1
C10orf95	1
C11orf16	1
C11orf30	1
C11orf40	1
C11orf44	1
C11orf85	1
C14orf159	1
C14orf39	1
C15orf56	1
C16orf96	1
C19orf40	1
C19orf43	1
C1orf116	1
C1orf174	1
C1orf27	1
C1orf51	1
C1orf53	1
